arch,uf,n,share
rav4_prime,0.693,3.0,3.15
x5_x3_330e_530e,0.5257,13.0,3.08
prius_prime,0.6935,5.0,2.7
wrangler_4xe,0.487,4.0,2.34
nx_rx_phev,0.657,4.0,1.92
xc60_s60_s90_phev,0.6397,14.0,1.82
grand_cherokee_4xe,0.536,4.0,1.59
gle_glc_s_class_phev,0.7427,0.0,1.24
outlander_phev,0.661,4.0,1.12
cayenne_panamera_phev,0.535,5.0,0.94
pacifica_hybrid,0.609,4.0,0.79
tucson_phev,0.602,4.0,0.72
escape_phev,0.655,3.0,0.66
aviator_corsair_phev,0.471,2.0,0.61
range_rover_phev,0.443,1.0,0.6
q5_e,0.567,2.0,0.6
sportage_phev,0.622,3.0,0.52
sorento_phev,0.591,4.0,0.52
santa_fe_phev,0.595,2.0,0.5
cx_90_phev,0.536,2.0,0.39
other_phev_mainstream,0.6057,,0.37
