ev_type,cs_mpg,fuel,fuel_price_usd_gal,kwh_per_mi,gas_cost_per_kwh,fleet_count,source_epa
rav4_prime,38,regular,3.881,0.37,0.276,3125,https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47502
x5_x3_330e_530e,22,premium,4.805,0.39,0.56,3052,https://www.fueleconomy.gov/feg/bymodel/2025_BMW_X5.shtml
prius_prime,52,regular,3.881,0.26,0.2871,2681,https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47501
wrangler_4xe,20,regular,3.881,0.49,0.396,2318,https://www.fueleconomy.gov/feg/noframes/47278.shtml
nx_rx_phev,36,regular,3.881,0.38,0.2837,1906,https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47498
xc60_s60_s90_phev,28,premium,4.805,0.4,0.429,1809,https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47504
grand_cherokee_4xe,23,regular,3.881,0.47,0.359,1574,https://www.fueleconomy.gov/feg/noframes/47277.shtml
gle_glc_s_class_phev,25,premium,4.805,0.41,0.4688,1231,https://www.fueleconomy.gov/feg/bymodel/2025_Mercedes-Benz_GLC-Class.shtml
outlander_phev,26,regular,3.881,0.43,0.3471,1110,https://www.fueleconomy.gov/FEG/noframes/47499.shtml
cayenne_panamera_phev,22,premium,4.805,0.47,0.4647,928,https://www.fueleconomy.gov/feg/bymodel/2025_Porsche_Cayenne.shtml
pacifica_hybrid,30,regular,3.881,0.5,0.2587,785,https://fueleconomy.gov/feg/noframes/47276.shtml
tucson_phev,35,regular,3.881,0.38,0.2918,717,https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47495
escape_phev,40,regular,3.881,0.37,0.2622,659,https://www.fueleconomy.gov/Feg/noframes/47220.shtml
aviator_corsair_phev,33,regular,3.881,0.56,0.21,602,https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47226
range_rover_phev,21,premium,4.805,0.5,0.4576,594,https://www.fueleconomy.gov/feg/bymodel/2025_Land_Rover_Range_Rover.shtml
q5_e,26,premium,4.805,0.37,0.4995,593,https://www.fueleconomy.gov/feg/byfuel/Plug-inHybrid2023.shtml
sportage_phev,35,regular,3.881,0.38,0.2918,513,https://www.fueleconomy.gov/feg/byfuel/Plug-inHybrid2024.shtml
sorento_phev,34,regular,3.881,0.41,0.2784,512,https://www.fueleconomy.gov/feg/byfuel/Plug-inHybrid2024.shtml
santa_fe_phev,33,regular,3.881,0.41,0.2868,491,https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=46250
cx_90_phev,25,regular,3.881,0.56,0.2772,390,https://www.fueleconomy.gov/feg/bymodel/2024_Mazda_CX-90.shtml
other_phev_mainstream,38,regular,3.881,0.4,0.2553,365,https://www.fueleconomy.gov/feg/bymodel/2024_Toyota_RAV4_Prime.shtml
